delay,crps_a,crps_b,crps_d,logs_a,logs_b,logs_d,rmse_a,rmse_b,rmse_d
0,7.426113566239316,9.024897036858974,6.968470834935897,3.724573065076047,4.06847667639959,3.701064362852511,10.444444444444445,12.846153846153847,9.974358974358974
1,7.470761747863247,8.520940804487179,7.224896621794872,3.50400509716855,3.9265929267566295,3.608686374785759,10.457264957264957,11.867521367521368,10.363247863247864
2,6.97181338301282,7.748370017094016,6.86966004594017,3.420188305907573,3.9073731230970554,3.4378238824067737,9.722222222222221,10.717948717948717,9.743589743589743
3,6.812546006944444,6.920788533119658,6.727862806623931,3.4362778253425654,3.7480840914013727,3.3498049733336823,9.542735042735043,9.747863247863247,9.534188034188034
4,5.760392661324786,6.109202211004273,5.828818305555555,3.329697107412974,3.5544816965227684,3.4301805723870316,8.034188034188034,8.243589743589743,8.205128205128204
5,5.665130569978632,5.898056199786324,5.961164827457265,3.2678820716423114,3.5632632840444933,3.3370427084977687,7.957264957264957,8.376068376068377,8.465811965811966
6,5.634229906517094,5.7637778445512815,5.788532534722222,3.218444832349637,3.42617530068048,3.2771514228217176,7.487179487179487,7.846153846153846,7.9914529914529915
7,5.143443004273504,5.490698357905982,5.531390819978633,3.184863754627935,3.4196240269780818,3.127289546175249,7.051282051282051,7.44017094017094,7.632478632478633
8,5.277371940705128,5.474133804487179,5.472519393162393,2.941517580054257,3.3173612884096895,2.943838612905951,6.944444444444445,7.7094017094017095,7.384615384615385
9,4.680035624465812,4.869310777243589,4.79730947542735,2.9403330892507493,3.1626140182535423,2.9885916733666837,6.401709401709402,6.615384615384615,6.572649572649572
10,4.165800863782051,4.304303794871794,4.43452290758547,2.862353533623975,3.150114917023265,2.8775224275708187,5.696581196581197,5.948717948717949,6.17948717948718
11,4.037663745726496,4.246755694978632,4.154840551282051,2.6990165662768786,2.974777052452642,2.714520999401796,5.414529914529915,5.931623931623932,5.726495726495727
12,3.5900888007478633,3.833467711538461,3.795289610042735,2.4535645496653227,2.7362970006989866,2.496504773733748,4.82051282051282,5.170940170940171,5.2094017094017095
13,3.3731271955128204,3.5507825074786323,3.6712006789529914,2.3651192534175265,2.534600319674091,2.415376271541524,4.6068376068376065,4.897435897435898,5.089743589743589
14,3.0521679006410256,2.943489536324786,3.0776218060897436,2.3731719801200093,2.4432281492348147,2.3899280680827912,4.128205128205129,4.188034188034188,4.226495726495727
15,2.3353019300213673,2.3478048039529913,2.4548415774572647,1.9710641088978322,2.11376177775303,1.9926052997911239,3.111111111111111,3.230769230769231,3.3162393162393164
16,2.029437709401709,2.039455046474359,2.0890521463675213,1.7883658749709161,1.8503822291796808,1.8150844818532534,2.6923076923076925,2.871794871794872,2.824786324786325
17,1.5980050299145299,1.552043515491453,1.637961095619658,1.5248759242337817,1.6857165528144333,1.5556347350153181,2.1837606837606836,2.2264957264957266,2.2564102564102564
18,1.4556362174145299,1.282512953525641,1.5320418621794871,1.5474620941000725,1.5927524995454683,1.5253389864041347,2.0683760683760686,1.8376068376068375,2.1709401709401708
19,1.5016055261752135,1.2737207286324785,1.5017180197649571,1.497050521444518,1.5207058894084917,1.483610763317908,1.9273504273504274,1.7991452991452992,1.9871794871794872
20,1.2058070138888888,0.9280223995726494,1.1633571014957265,1.4448386102971162,1.478313307893203,1.3950804351273962,1.5982905982905984,1.2735042735042734,1.5726495726495726
21,1.059219625534188,0.8576776677350426,1.0208380865384614,1.2774232727405466,1.3270792680340835,1.2914389687220666,1.4444444444444444,1.2222222222222223,1.393162393162393
22,0.9316887382478631,0.7769432297008546,0.914407048076923,1.2352427006692126,1.2931894706911282,1.2535933769712007,1.3333333333333333,1.1025641025641026,1.3333333333333333
23,0.7697773071581195,0.6285437889957264,0.7369618669871795,1.20854544630338,1.2182442593711083,1.2157829853368693,1.1111111111111112,0.8675213675213675,1.1025641025641026
24,0.658994391559829,0.5646367211538461,0.6159810860042735,1.1752777299265018,1.1874803638685678,1.1628018881786495,0.9487179487179487,0.7777777777777778,0.8717948717948718
25,0.6843380582264956,0.647667969017094,0.665932094017094,1.1333525826315993,1.132188947135421,1.155797196556559,0.9487179487179487,0.9145299145299145,0.9487179487179487
26,0.6022145838675214,0.5677962334401709,0.5991058151709401,1.0055604553891455,1.0647344488520196,1.03110720138381,0.8376068376068376,0.7692307692307693,0.8290598290598291
27,0.5629924091880342,0.5522661901709401,0.5689593221153846,1.1344153162981816,1.1384283357819924,1.1202997956329452,0.7692307692307693,0.7435897435897436,0.7606837606837606
28,0.48578963728632474,0.4922861559829059,0.49612140384615383,0.9557920668817608,0.9833731790641503,0.9641361718281245,0.6410256410256411,0.6495726495726496,0.6324786324786325
29,0.48071591506410255,0.4566889188034188,0.4832605053418803,0.8459526876714545,0.9006445882730517,0.9577327383111595,0.7008547008547008,0.6666666666666666,0.7094017094017094
30,0.34171536858974355,0.3424155347222222,0.34940001388888886,0.5747028569038548,0.6422901830903162,0.6197891588701289,0.46153846153846156,0.452991452991453,0.48717948717948717
31,0.37234395405982906,0.3650767590811966,0.3665196538461538,0.5266325228296874,0.5757589356474511,0.5527258480248043,0.5042735042735043,0.46153846153846156,0.4700854700854701
32,0.3209193498931624,0.33178044658119654,0.3269748824786325,0.470850392833679,0.5036927044462945,0.46996462188403837,0.4017094017094017,0.41025641025641024,0.39316239316239315
33,0.42044497756410254,0.4061425192307692,0.41936135416666664,0.4167357841629137,0.4602206348007492,0.4331331505853224,0.5213675213675214,0.5299145299145299,0.5213675213675214
34,0.350431983974359,0.36058504594017093,0.3525068969017094,0.38546949414350357,0.41619177800060714,0.40812507532890563,0.42735042735042733,0.4444444444444444,0.42735042735042733
35,0.4700854700854701,0.4700854700854701,0.4700854700854701,0.2641184786146811,0.2655155165852258,0.2649795174754715,0.4700854700854701,0.4700854700854701,0.4700854700854701
