date,med_d,q5_d,q95_d,now,delay,weekday
2020-09-15,0.03669185,-0.0747208525,0.14867982500000002,2020-09-15,0,3
2020-09-16,0.001760085,-0.0833875075,0.10638890000000004,2020-09-16,0,4
2020-09-17,8.742604999999999e-4,-0.09368358,0.11449992500000002,2020-09-17,0,5
2020-09-18,0.005103460000000001,-0.081609315,0.103127125,2020-09-18,0,6
2020-09-22,0.005589255,-0.08091470249999999,0.10259172500000001,2020-09-22,0,3
2020-09-23,0.00381956,-0.0775623525,0.08798303500000003,2020-09-23,0,4
2020-09-24,0.00968445,-0.06562849,0.10329215,2020-09-24,0,5
2020-09-25,0.020431400000000002,-0.060150135,0.11873425000000001,2020-09-25,0,6
2020-09-29,0.0479991,-0.0570100825,0.1736454,2020-09-29,0,3
2020-09-30,0.0383515,-0.056123685,0.15490417500000003,2020-09-30,0,4
2020-10-02,-0.05035675,-0.1293932,0.03664374000000002,2020-10-02,0,6
2020-10-06,0.043998999999999996,-0.0509694525,0.15081520000000004,2020-10-06,0,3
2020-10-07,0.08775664999999999,-0.030692812499999996,0.25994075000000016,2020-10-07,0,4
2020-10-09,0.0697712,-0.04340355,0.21868000000000004,2020-10-09,0,6
2020-10-13,0.0453232,-0.0615726925,0.183441825,2020-10-13,0,3
2020-10-14,0.03378555,-0.064750895,0.15406697500000002,2020-10-14,0,4
2020-10-15,0.0759736,-0.03476306750000001,0.205445725,2020-10-15,0,5
2020-10-16,0.07507985,-0.027109327499999995,0.19619705,2020-10-16,0,6
2020-10-20,0.090451,-0.01775471,0.2377121,2020-10-20,0,3
2020-10-21,0.0862266,-0.02023764,0.20641405000000002,2020-10-21,0,4
2020-10-22,0.1056925,-1.8385797499999716e-4,0.2271193,2020-10-22,0,5
2020-10-23,0.0755284,-0.02134332,0.19583355000000005,2020-10-23,0,6
2020-10-27,0.051919099999999996,-0.04275370249999999,0.17317524999999998,2020-10-27,0,3
2020-10-28,0.03744295,-0.0619613575,0.17690915000000002,2020-10-28,0,4
2020-10-29,0.0767948,-0.015650365,0.22952665000000003,2020-10-29,0,5
2020-10-30,0.059471750000000004,-0.02844556,0.17762375000000002,2020-10-30,0,6
2020-11-03,0.08809195,-0.0174587125,0.237935275,2020-11-03,0,3
2020-11-04,0.05855465,-4.4383182499999985e-4,0.13950435000000003,2020-11-04,0,4
2020-11-05,0.09573065,-0.0265016375,0.21725227500000005,2020-11-05,0,5
2020-11-06,0.07109404999999999,-0.0352075,0.17842495,2020-11-06,0,6
2020-11-10,0.06263675,-0.042189792499999997,0.16072952500000004,2020-11-10,0,3
2020-11-11,0.078141,-0.0243988275,0.15810585000000002,2020-11-11,0,4
2020-11-12,0.08435870000000001,-0.00208648575,0.1546172,2020-11-12,0,5
2020-11-13,0.075238,-0.009610182249999995,0.14069552500000004,2020-11-13,0,6
2020-11-17,0.09136475,0.00589601675,0.16576475000000002,2020-11-17,0,3
2020-11-18,0.1048555,0.01825683,0.1772313,2020-11-18,0,4
2020-11-19,0.119233,0.0213049825,0.19982685,2020-11-19,0,5
2020-11-20,0.115511,0.016209955,0.18414865000000002,2020-11-20,0,6
2020-11-24,0.09615365000000001,0.0021160452500000007,0.1724012,2020-11-24,0,3
2020-11-25,0.09711095,0.0053312457500000006,0.16960152500000003,2020-11-25,0,4
2020-11-26,0.08517835,-0.002828814749999999,0.15323315,2020-11-26,0,5
2020-11-27,0.08263799999999999,0.002682505000000001,0.14809815,2020-11-27,0,6
2020-12-01,0.0845924,0.008366619,0.1463186,2020-12-01,0,3
2020-12-02,0.08374095,0.007657223250000002,0.144207125,2020-12-02,0,4
2020-12-03,0.12315,0.048884115,0.176135875,2020-12-03,0,5
2020-12-04,0.117616,0.0453734625,0.1730665,2020-12-04,0,6
2020-12-08,0.0968483,0.014098527500000001,0.157787175,2020-12-08,0,3
2020-12-09,0.09953645,0.020509020000000006,0.160081675,2020-12-09,0,4
2020-12-10,0.10442950000000001,0.0358169375,0.16736287500000005,2020-12-10,0,5
2020-12-11,0.1019015,0.0318453475,0.16012785,2020-12-11,0,6
2020-12-15,0.11265549999999999,0.03546608500000001,0.445185375,2020-12-15,0,3
2020-12-16,0.108878,0.0558194175,0.14842105,2020-12-16,0,4
2020-12-17,0.113288,0.0698651275,0.151388625,2020-12-17,0,5
2020-12-18,0.10436300000000001,0.07472432500000001,0.13153160000000003,2020-12-18,0,6
2020-12-22,0.1042515,0.07325333,0.127571675,2020-12-22,0,3
2020-12-23,0.1005065,0.0714292,0.123773025,2020-12-23,0,4
2020-12-29,0.101677,0.06837616249999999,0.12939097500000002,2020-12-29,0,3
2020-12-30,0.09839385,0.069538535,0.12542260000000002,2020-12-30,0,4
2021-01-05,0.1103845,0.05706513,0.14665330000000001,2021-01-05,0,3
2021-01-07,0.1089615,0.041266932500000006,0.15478327500000003,2021-01-07,0,5
2021-01-08,0.13657350000000001,0.03656373,0.222667625,2021-01-08,0,6
2021-01-12,0.0953049,-0.068674615,0.23944515,2021-01-12,0,3
2021-01-13,0.053210900000000005,-0.13666837499999998,0.22176000000000004,2021-01-13,0,4
2021-01-14,0.0670872,-0.08468163749999999,0.2215321500000002,2021-01-14,0,5
2021-01-15,0.03506165,-0.113024825,0.19203602500000003,2021-01-15,0,6
2021-01-19,0.05322835,-0.095883585,0.19712695000000002,2021-01-19,0,3
2021-01-20,0.023688349999999997,-0.12661704999999998,0.15988757500000003,2021-01-20,0,4
2021-01-21,0.07597875000000001,-0.1164092,0.24687929999999997,2021-01-21,0,5
2021-01-22,0.09646725,-0.0832050325,0.26504385,2021-01-22,0,6
2021-01-26,0.11248,-0.0630610125,0.29701140000000004,2021-01-26,0,3
2021-01-27,0.10691149999999999,-0.096238275,0.30659922500000003,2021-01-27,0,4
2021-01-28,0.111135,-0.0547959975,0.3001202,2021-01-28,0,5
2021-01-29,0.0750638,-0.082272605,0.24565102500000002,2021-01-29,0,6
2021-02-02,0.147261,-0.034009207500000006,0.35247987500000016,2021-02-02,0,3
2021-02-03,0.162261,-0.026890394999999997,0.37941070000000005,2021-02-03,0,4
2021-02-04,0.0379745,-0.10312047499999999,0.20154830000000004,2021-02-04,0,5
2021-02-05,0.0582464,-0.06540406249999998,0.18542595,2021-02-05,0,6
2021-02-09,0.12067,-0.02503673999999999,0.280244475,2021-02-09,0,3
2021-02-10,0.1042525,-0.03410014749999999,0.240007125,2021-02-10,0,4
2021-02-11,0.1328315,0.0033429260000000013,0.2747169,2021-02-11,0,5
2021-02-12,0.112591,0.0010700298500000037,0.22380657500000004,2021-02-12,0,6
2021-02-16,0.174531,0.04281566750000001,0.31089487500000007,2021-02-16,0,3
2021-02-17,0.1499985,0.023908465,0.27318865,2021-02-17,0,4
2021-02-18,0.1282105,-0.02519371,0.274504275,2021-02-18,0,5
2021-02-19,0.1219595,-0.0322058675,0.2592736500000001,2021-02-19,0,6
2021-02-23,0.1249645,-0.049418992499999995,0.27314695000000017,2021-02-23,0,3
2021-02-24,0.120776,-0.048996685,0.24931445000000002,2021-02-24,0,4
2021-02-25,0.1227985,-0.057051937500000004,0.250711,2021-02-25,0,5
2021-02-26,0.15741549999999999,-0.0035232899999999975,0.266856825,2021-02-26,0,6
2021-03-02,0.1680315,-0.005944279749999997,0.2930036000000001,2021-03-02,0,3
2021-03-03,0.184635,0.02346226500000001,0.304279,2021-03-03,0,4
2021-03-04,0.2140785,0.061493632500000006,0.32596140000000007,2021-03-04,0,5
2021-03-05,0.22926249999999998,0.10212852500000001,0.3038929000000001,2021-03-05,0,6
2021-03-09,0.218164,0.0736826525,0.32961265000000006,2021-03-09,0,3
2021-03-10,0.208077,0.049707295,0.3287155,2021-03-10,0,4
2021-03-11,0.238958,0.07350190250000001,0.36419895,2021-03-11,0,5
2021-03-12,0.2023125,0.008159978500000001,0.366827475,2021-03-12,0,6
2021-03-16,0.187965,-0.006444426249999985,0.349639975,2021-03-16,0,3
2021-03-17,0.18281,-0.010908544999999995,0.3556499000000001,2021-03-17,0,4
2021-03-18,0.212486,0.020958152500000014,0.3855056250000001,2021-03-18,0,5
2021-03-19,0.161815,-0.035119042499999996,0.353405175,2021-03-19,0,6
2021-03-23,0.11384,-0.10986955000000001,0.3194549500000001,2021-03-23,0,3
2021-03-24,0.1075615,-0.12745172500000002,0.31740647500000024,2021-03-24,0,4
2021-03-25,0.1246245,-0.10578717500000001,0.35951287500000023,2021-03-25,0,5
2021-03-26,0.104108,-0.12795855,0.3398252000000001,2021-03-26,0,6
2021-03-30,0.10183249999999999,-0.134162475,0.34886635000000016,2021-03-30,0,3
2021-03-31,0.05517145,-0.18244264999999998,0.28975620000000013,2021-03-31,0,4
2021-04-01,-0.025289399999999997,-0.261934125,0.27152475000000015,2021-04-01,0,5
2021-04-06,-0.1667415,-0.30190315,0.016545495000000066,2021-04-06,0,3
2021-04-07,-0.11032800000000001,-0.25932905,0.07815363000000011,2021-04-07,0,4
2021-04-08,-0.048536449999999995,-0.222199875,0.18732582500000003,2021-04-08,0,5
2021-04-09,-0.09199775,-0.26872855,0.09774656750000006,2021-04-09,0,6
2021-04-13,-0.08341855000000001,-0.256908075,0.08241632250000006,2021-04-13,0,3
2021-04-14,-0.06886809999999999,-0.25660180000000005,0.12132455000000002,2021-04-14,0,4
2021-04-15,-0.052289749999999996,-0.22231497500000003,0.15846327500000015,2021-04-15,0,5
2021-04-16,-0.002313645,-0.13973342499999997,0.15172382500000017,2021-04-16,0,6
2021-04-20,0.03938995,-0.126027475,0.22443982500000006,2021-04-20,0,3
2021-04-21,0.0249049,-0.105052,0.15073557500000004,2021-04-21,0,4
2021-04-22,0.0474259,-0.097869235,0.2034093250000001,2021-04-22,0,5
2021-04-23,0.006633675,-0.121194075,0.11391245,2021-04-23,0,6
2021-04-27,-0.0312882,-0.17660015,0.09781318250000004,2021-04-27,0,3
2021-04-28,-0.01015955,-0.16557154999999998,0.10710700000000001,2021-04-28,0,4
2021-04-29,0.04316475,-0.09684015749999998,0.16994427500000017,2021-04-29,0,5
2021-04-30,0.036250950000000004,-0.09785670999999999,0.16666317500000002,2021-04-30,0,6
2021-05-04,7.30501e-4,-0.20807815000000002,0.2406530250000005,2021-05-04,0,3
2021-05-05,0.0226724,-0.116147025,0.18699985000000002,2021-05-05,0,4
2021-05-06,0.0214547,-0.1181362,0.14356355,2021-05-06,0,5
2021-05-07,0.02671035,-0.119105675,0.15181342500000003,2021-05-07,0,6
2021-05-11,0.0199739,-0.100057275,0.15680105000000005,2021-05-11,0,3
2021-05-12,0.03786505,-0.13784870000000002,0.238400825,2021-05-12,0,4
2021-05-14,0.022164200000000002,-0.10643269999999999,0.15520325000000001,2021-05-14,0,6
2021-05-18,0.0142813,-0.10210754999999999,0.15465452500000007,2021-05-18,0,3
2021-05-19,0.025605950000000002,-0.13193744999999998,0.21597027500000002,2021-05-19,0,4
2021-05-20,0.01729495,-0.11209625,0.21060635000000005,2021-05-20,0,5
2021-05-21,0.0377238,-0.110360525,0.24144427500000004,2021-05-21,0,6
2021-05-25,0.129364,-0.09265694749999999,0.40058865000000005,2021-05-25,0,3
2021-05-26,0.165552,-0.0541693125,0.436289875,2021-05-26,0,4
2021-05-27,0.0288415,-0.0984124275,0.22004592500000011,2021-05-27,0,5
2021-06-03,0.05829595,-0.079720435,0.21192645000000002,2021-06-03,0,5
2021-06-04,0.1279475,-0.0015566479999999992,0.2859363750000001,2021-06-04,0,6
2021-06-08,0.12560349999999998,0.007315815750000006,0.24015097500000002,2021-06-08,0,3
2021-06-09,0.12597049999999999,0.01766016,0.23853325000000003,2021-06-09,0,4
2021-06-10,-0.04191815,-0.2384004,0.11786722500000005,2021-06-10,0,5
2021-06-11,0.03566155,-0.08989388,0.14136655000000004,2021-06-11,0,6
